soil_moisture,soil_moisture_p,humidity_p,temperature_c,heat_index_c
292.0,59.0,70.0,18.2,17.9
293.0,59.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
277.0,65.0,70.0,18.2,17.9
290.0,60.0,70.0,18.2,17.9
278.0,65.0,70.0,18.2,17.9
293.0,59.0,70.0,18.2,17.9
276.0,66.0,70.0,18.2,17.9
288.0,61.0,70.0,18.2,17.9
276.0,66.0,70.0,18.2,17.9
293.0,59.0,70.0,18.2,17.9
292.0,59.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
277.0,65.0,70.0,18.2,17.9
282.0,63.0,70.0,18.2,17.9
281.0,64.0,70.0,18.2,17.9
291.0,60.0,70.0,18.2,17.9
292.0,59.0,70.0,18.2,17.9
291.0,60.0,70.0,18.2,17.9
286.0,62.0,70.0,18.2,17.9
286.0,62.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
290.0,60.0,70.0,18.2,17.9
286.0,62.0,70.0,18.2,17.9
280.0,64.0,70.0,18.2,17.9
281.0,64.0,70.0,18.2,17.9
283.0,63.0,70.0,18.2,17.9
293.0,59.0,70.0,17.8,17.46
282.0,63.0,70.0,17.8,17.46
293.0,59.0,70.0,17.4,17.02
293.0,59.0,70.0,17.4,17.02
294.0,58.0,70.0,17.4,17.02
282.0,63.0,70.0,17.4,17.02
288.0,61.0,70.0,17.4,17.02
294.0,58.0,70.0,17.4,17.02
283.0,63.0,70.0,17.4,17.02
283.0,63.0,70.0,17.4,17.02
286.0,62.0,70.0,17.4,17.02
294.0,58.0,70.0,17.4,17.02
294.0,58.0,70.0,17.4,17.02
293.0,59.0,70.0,17.4,17.02
286.0,62.0,69.0,17.4,17.0
286.0,62.0,70.0,17.4,17.02
294.0,58.0,69.0,17.4,17.0
286.0,62.0,69.0,17.4,17.0
294.0,58.0,69.0,17.4,17.0
295.0,58.0,69.0,17.4,17.0
283.0,63.0,69.0,17.4,17.0
284.0,62.0,69.0,17.4,17.0
289.0,60.0,69.0,17.4,17.0
295.0,58.0,69.0,17.1,16.67
285.0,62.0,69.0,17.0,16.56
295.0,58.0,69.0,17.0,16.56
286.0,62.0,69.0,17.0,16.56
294.0,58.0,69.0,17.0,16.56
295.0,58.0,69.0,17.0,16.56
295.0,58.0,69.0,17.0,16.56
285.0,62.0,69.0,17.0,16.56
286.0,62.0,68.0,17.0,16.53
297.0,57.0,68.0,16.6,16.09
297.0,57.0,68.0,16.6,16.09
288.0,61.0,68.0,16.6,16.09
287.0,61.0,68.0,16.6,16.09
294.0,58.0,68.0,16.1,15.54
288.0,61.0,68.0,16.1,15.54
298.0,57.0,68.0,16.1,15.54
296.0,58.0,68.0,16.1,15.54
289.0,60.0,69.0,16.1,15.57
298.0,57.0,68.0,16.1,15.54
288.0,61.0,68.0,16.1,15.54
296.0,58.0,68.0,16.1,15.54
289.0,60.0,68.0,16.1,15.54
289.0,60.0,68.0,16.1,15.54
288.0,61.0,68.0,16.1,15.54
295.0,58.0,68.0,16.1,15.54
299.0,57.0,68.0,16.1,15.54
289.0,60.0,68.0,16.1,15.54
288.0,61.0,68.0,16.1,15.54
289.0,60.0,68.0,16.1,15.54
288.0,61.0,68.0,16.1,15.54
289.0,60.0,68.0,16.1,15.54
294.0,58.0,68.0,16.1,15.54
296.0,58.0,68.0,16.1,15.54
300.0,56.0,68.0,16.0,15.43
292.0,59.0,69.0,15.7,15.13
290.0,60.0,69.0,15.7,15.13
291.0,60.0,68.0,16.1,15.54
296.0,58.0,69.0,15.8,15.24
299.0,57.0,69.0,15.7,15.13
291.0,60.0,69.0,15.7,15.13
290.0,60.0,68.0,15.7,15.1
289.0,60.0,68.0,15.7,15.1
300.0,56.0,68.0,15.7,15.1
297.0,57.0,68.0,15.7,15.1
298.0,57.0,68.0,15.7,15.1
300.0,56.0,68.0,15.7,15.1
300.0,56.0,69.0,15.7,15.13
293.0,59.0,69.0,15.7,15.13
290.0,60.0,69.0,15.7,15.13
289.0,60.0,69.0,15.7,15.13
300.0,56.0,68.0,15.7,15.1
290.0,60.0,68.0,15.7,15.1
290.0,60.0,68.0,15.7,15.1
290.0,60.0,68.0,15.7,15.1
299.0,57.0,68.0,15.7,15.1
291.0,60.0,69.0,15.2,14.58
292.0,59.0,69.0,15.2,14.58
288.0,61.0,69.0,15.2,14.58
299.0,57.0,69.0,15.2,14.58
300.0,56.0,69.0,15.2,14.58
300.0,56.0,69.0,15.2,14.58
290.0,60.0,69.0,15.2,14.58
299.0,57.0,69.0,15.2,14.58
298.0,57.0,69.0,15.2,14.58
292.0,59.0,69.0,15.2,14.58
299.0,57.0,69.0,15.3,14.69
288.0,61.0,70.0,15.7,15.15
299.0,57.0,70.0,15.6,15.04
299.0,57.0,70.0,15.7,15.15
299.0,57.0,70.0,15.7,15.15
289.0,60.0,70.0,15.7,15.15
299.0,57.0,70.0,15.7,15.15
299.0,57.0,70.0,15.5,14.93
298.0,57.0,70.0,15.5,14.93
