soil_moisture,soil_moisture_p,humidity_p,temperature_c,heat_index_c
298.0,57.0,62.0,17.4,16.81
298.0,57.0,62.0,17.4,16.81
277.0,65.0,62.0,17.4,16.81
277.0,65.0,62.0,17.4,16.81
293.0,59.0,62.0,17.4,16.81
291.0,60.0,62.0,17.4,16.81
316.0,50.0,62.0,17.4,16.81
315.0,50.0,62.0,17.4,16.81
306.0,54.0,62.0,17.4,16.81
307.0,53.0,62.0,17.4,16.81
278.0,65.0,62.0,17.4,16.81
278.0,65.0,62.0,17.4,16.81
282.0,63.0,62.0,17.4,16.81
282.0,63.0,62.0,17.4,16.81
314.0,51.0,62.0,17.4,16.81
304.0,55.0,62.0,17.4,16.81
318.0,49.0,62.0,17.4,16.81
318.0,49.0,62.0,17.4,16.81
285.0,62.0,62.0,17.4,16.81
284.0,62.0,62.0,17.4,16.81
275.0,66.0,62.0,17.4,16.81
275.0,66.0,62.0,17.4,16.81
293.0,59.0,62.0,17.4,16.81
297.0,57.0,62.0,17.4,16.81
316.0,50.0,62.0,17.4,16.81
317.0,50.0,62.0,17.4,16.81
284.0,62.0,62.0,17.4,16.81
282.0,63.0,62.0,17.4,16.81
276.0,66.0,62.0,17.4,16.81
277.0,65.0,62.0,17.4,16.81
313.0,51.0,62.0,17.4,16.81
306.0,54.0,62.0,17.4,16.81
317.0,50.0,62.0,17.4,16.81
316.0,50.0,62.0,17.4,16.81
280.0,64.0,62.0,17.4,16.81
278.0,65.0,62.0,17.4,16.81
286.0,62.0,62.0,17.4,16.81
295.0,58.0,62.0,17.4,16.81
317.0,50.0,62.0,17.4,16.81
317.0,50.0,62.0,17.4,16.81
282.0,63.0,62.0,17.4,16.81
279.0,64.0,62.0,17.4,16.81
281.0,64.0,61.0,17.4,16.79
289.0,60.0,61.0,17.4,16.79
316.0,50.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
284.0,62.0,61.0,17.4,16.79
303.0,55.0,61.0,17.4,16.79
276.0,66.0,61.0,17.4,16.79
275.0,66.0,61.0,17.4,16.79
309.0,53.0,61.0,17.4,16.79
311.0,52.0,61.0,17.4,16.79
314.0,51.0,61.0,17.4,16.79
318.0,49.0,61.0,17.4,16.79
284.0,62.0,61.0,17.4,16.79
281.0,64.0,61.0,17.4,16.79
279.0,64.0,61.0,17.4,16.79
286.0,62.0,61.0,17.4,16.79
316.0,50.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
286.0,62.0,61.0,17.4,16.79
283.0,63.0,61.0,17.4,16.79
277.0,65.0,61.0,17.4,16.79
276.0,66.0,61.0,17.4,16.79
307.0,53.0,61.0,17.4,16.79
310.0,52.0,61.0,17.4,16.79
316.0,50.0,61.0,17.4,16.79
311.0,52.0,61.0,17.4,16.79
277.0,65.0,61.0,17.4,16.79
275.0,66.0,61.0,17.4,16.79
308.0,53.0,61.0,17.4,16.79
310.0,52.0,61.0,17.4,16.79
315.0,50.0,61.0,17.4,16.79
310.0,52.0,61.0,17.4,16.79
277.0,65.0,61.0,17.4,16.79
276.0,66.0,61.0,17.4,16.79
307.0,53.0,61.0,17.4,16.79
309.0,53.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
316.0,50.0,61.0,17.4,16.79
293.0,59.0,61.0,17.4,16.79
288.0,61.0,61.0,17.4,16.79
275.0,66.0,61.0,17.4,16.79
275.0,66.0,61.0,17.4,16.79
289.0,60.0,61.0,17.4,16.79
293.0,59.0,61.0,17.4,16.79
316.0,50.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
289.0,60.0,61.0,17.4,16.79
285.0,62.0,61.0,17.4,16.79
276.0,66.0,61.0,17.4,16.79
275.0,66.0,61.0,17.4,16.79
307.0,53.0,61.0,17.4,16.79
309.0,53.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
316.0,50.0,61.0,17.4,16.79
293.0,59.0,61.0,17.4,16.79
287.0,61.0,61.0,17.4,16.79
274.0,66.0,61.0,17.4,16.79
