soil_moisture,soil_moisture_p,humidity_p,temperature_c,heat_index_c
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
403.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
403.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
403.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,72.00,14.10,13.45
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
403.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
403.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
403.00,16.00,73.00,14.10,13.47
403.00,16.00,74.00,14.10,13.50
404.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
404.00,16.00,74.00,14.10,13.50
404.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
404.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
404.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,74.00,14.10,13.50
403.00,16.00,73.00,14.10,13.47
403.00,16.00,73.00,14.10,13.47
403.00,16.00,73.00,14.10,13.47
404.00,16.00,73.00,14.10,13.47
403.00,16.00,73.00,14.10,13.47
403.00,16.00,73.00,14.10,13.47
403.00,16.00,73.00,14.10,13.47
